_time,_start,_stop,_measurement,application_name,dev_eui,device_name,dr,frequency,f_cnt,rssi,snr
2025-02-12 15:11:02.290824+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,570,-119,-1.9
2025-02-12 15:11:12.251007+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,572,-117,-0.4
2025-02-12 15:11:17.256071+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,573,-119,-2.4
2025-02-12 15:11:27.263772+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,575,-113,4.1
2025-02-12 15:11:32.253257+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,576,-116,1.2
2025-02-12 15:11:42.245386+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,578,-119,-2.5
2025-02-12 15:11:47.251062+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,579,-118,-1.1
2025-02-12 15:11:52.240309+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,580,-121,-4.1
2025-02-12 15:11:57.245290+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,581,-118,-1.4
2025-02-12 15:12:02.244501+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,582,-115,2.3
2025-02-12 15:12:07.251746+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,583,-124,-7.2
2025-02-12 15:12:12.246810+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,584,-121,-4.1
2025-02-12 15:12:17.251319+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,585,-117,0.1
2025-02-12 15:12:27.247763+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,587,-113,3.8
2025-02-12 15:12:32.249170+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,588,-121,-4.5
2025-02-12 15:12:47.245341+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,591,-121,-3.9
2025-02-12 15:12:52.260356+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,592,-115,2.0
2025-02-12 15:12:57.249639+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,593,-118,-1.5
2025-02-12 15:13:02.246336+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,594,-120,-2.9
2025-02-12 15:13:07.260302+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,595,-125,-8.2
2025-02-12 15:13:12.266083+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,596,-117,0.2
2025-02-12 15:13:17.269104+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,597,-117,-0.3
2025-02-12 15:13:22.255566+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,598,-117,-0.4
2025-02-12 15:13:27.261708+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,599,-117,0.2
2025-02-12 15:13:32.269924+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,600,-122,-5.5
2025-02-12 15:13:37.264291+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,601,-119,-1.6
2025-02-12 15:13:42.254700+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,602,-126,-8.6
2025-02-12 15:13:47.270020+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,603,-116,1.1
2025-02-12 15:13:52.262378+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,604,-122,-4.9
2025-02-12 15:13:57.252344+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,605,-117,0.2
2025-02-12 15:14:02.254126+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,606,-121,-4.3
2025-02-12 15:14:07.257326+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,607,-121,-3.7
2025-02-12 15:14:17.264326+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,609,-122,-4.5
2025-02-12 15:14:22.253786+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,610,-123,-5.9
2025-02-12 15:14:32.267163+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,612,-120,-2.8
2025-02-12 15:14:37.260911+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,613,-122,-4.6
2025-02-12 15:14:42.261708+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,614,-119,-2.3
2025-02-12 15:14:47.260637+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,615,-119,-1.7
